,model_type,timewindow,overlap,accuracy,precision,recall,f1
0,deprnet,4,0.0,0.8976802110671998,0.895656305551529,0.9265134334564209,0.9052913010120391
1,deprnet,4,0.25,0.9005962550640106,0.9007448434829712,0.9221330165863038,0.906180876493454
2,deprnet,4,0.5,0.9016802430152893,0.8980303466320038,0.9258454322814942,0.9078834295272827
3,deprnet,4,0.75,0.8947615087032318,0.9057215869426727,0.9000147163867951,0.8987882673740387
4,deprnet,6,0.0,0.9092774868011475,0.897381317615509,0.941786378622055,0.9155713737010955
5,deprnet,6,0.25,0.9016895949840545,0.8997466564178467,0.9247901856899261,0.9077114760875702
6,deprnet,6,0.5,0.9101124107837677,0.8985527217388153,0.9459994733333588,0.9169230282306671
7,deprnet,6,0.75,0.9234379887580871,0.9291244864463806,0.9294961035251618,0.9261999011039734
8,swin,4,0.0,0.9126550316810608,0.9295080959796905,0.9102327585220337,0.9133013844490051
9,swin,4,0.25,0.9061681151390075,0.9094615995883941,0.9272376298904419,0.910592520236969
10,swin,4,0.5,0.9120315611362457,0.9186370134353637,0.919418340921402,0.913627701997757
11,swin,4,0.75,0.9048977017402648,0.9159660816192627,0.9154567956924439,0.9069675326347351
12,swin,6,0.0,0.9190650105476379,0.9297509789466858,0.9261858582496643,0.9208675742149353
13,swin,6,0.25,0.9311964511871338,0.9463558077812195,0.9302603423595428,0.93180610537529
14,swin,6,0.5,0.9236733138561248,0.9348164498806,0.9273853421211242,0.9249738693237305
15,swin,6,0.75,0.9183559596538544,0.9261701047420502,0.9228802025318146,0.9199886620044708
